value,times_seen,last_seen,first_seen
Smart Energy 6.0,1,2026-07-14T10:32:44.000000Z,2026-07-14T10:32:44.000000Z
Tripower X 15,1,2026-07-14T04:02:07.000000Z,2026-07-14T04:02:07.000000Z
Smart Energy 4.0,1,2026-07-14T02:00:15.000000Z,2026-07-14T02:00:15.000000Z
STP 12000TL-20,1,2026-07-14T01:01:35.000000Z,2026-07-14T01:01:35.000000Z
Tripower X 20,2,2026-07-14T00:50:33.000000Z,2026-07-13T22:55:29.000000Z
SB 6.0-1AV-41,1,2026-07-13T22:52:35.000000Z,2026-07-13T22:52:35.000000Z
STP 5.0-3SE-40,6,2026-07-14T14:08:54.000000Z,2026-07-13T20:08:31.000000Z
Tripower X 12,1,2026-07-13T20:04:12.000000Z,2026-07-13T20:04:12.000000Z
SI 8.0H-12,3,2026-07-14T07:33:58.000000Z,2026-07-13T19:33:11.000000Z
SBS 2.5-1VL-40,10,2026-07-14T14:31:24.000000Z,2026-07-13T19:21:56.000000Z
Tripower X 20 (STP 20-50),4,2026-07-14T13:16:29.000000Z,2026-07-13T19:15:58.000000Z
STP 8000TL-10,4,2026-07-14T12:58:17.000000Z,2026-07-13T18:57:43.000000Z
STP 10000TL-10,6,2026-07-14T12:58:17.000000Z,2026-07-13T18:57:43.000000Z
Smart Energy 3.6,4,2026-07-14T11:55:52.000000Z,2026-07-13T17:55:27.000000Z
STP 8.0-3SE-40,33,2026-07-14T14:26:23.000000Z,2026-07-13T17:54:01.000000Z
STP 17000TL-10,4,2026-07-14T11:20:03.000000Z,2026-07-13T17:19:51.000000Z
STP 3.0-3AV-40,12,2026-07-14T12:59:10.000000Z,2026-07-13T17:08:09.000000Z
STP 10000TL-20,13,2026-07-14T13:35:55.000000Z,2026-07-13T16:48:30.000000Z
UNKNOWN (16777213),9,2026-07-14T14:21:13.000000Z,2026-07-13T16:43:48.000000Z
SBS 5.0-10,1,2026-07-13T15:41:59.000000Z,2026-07-13T15:41:59.000000Z
STP 9000TL-20,14,2026-07-14T14:37:50.000000Z,2026-07-13T15:31:37.000000Z
SB 3000TL-21,4,2026-07-14T09:30:22.000000Z,2026-07-13T15:29:28.000000Z
SB 3.0-1AV-41,4,2026-07-14T09:25:40.000000Z,2026-07-13T15:24:34.000000Z
SB 1.5-1VL-40,32,2026-07-14T14:58:21.000000Z,2026-07-13T15:12:44.000000Z
STP 15000TL-30,13,2026-07-14T13:22:17.000000Z,2026-07-13T15:12:12.000000Z
unknown,13,2026-07-14T15:07:41.000000Z,2026-07-13T15:06:25.000000Z
SB5.0-1AV-40,15,2026-07-14T14:35:52.000000Z,2026-07-13T14:51:15.000000Z
SB 5000TL-21,5,2026-07-14T14:50:49.000000Z,2026-07-13T14:50:04.000000Z
SB4.0-1AV-40,30,2026-07-14T15:03:00.000000Z,2026-07-13T14:49:58.000000Z
STP 6.0-3AV-40,44,2026-07-14T15:12:26.000000Z,2026-07-13T14:49:12.000000Z
STP 4.0-3AV-40,34,2026-07-14T15:08:23.000000Z,2026-07-13T14:49:12.000000Z
STP 10.0-3SE-40,20,2026-07-14T15:02:30.000000Z,2026-07-13T14:46:38.000000Z
SB 5.0-1AV-41,49,2026-07-14T14:59:48.000000Z,2026-07-13T14:44:19.000000Z
Smart Energy 5.0,13,2026-07-14T14:44:12.000000Z,2026-07-13T14:43:45.000000Z
STP 7000TL-20,33,2026-07-14T14:44:26.000000Z,2026-07-13T14:43:35.000000Z
STP 10.0-3AV-40,56,2026-07-14T15:06:02.000000Z,2026-07-13T14:43:23.000000Z
SB 3600TL-21,54,2026-07-14T15:09:54.000000Z,2026-07-13T14:43:22.000000Z
SB 2.0-1VL-40,17,2026-07-14T14:44:20.000000Z,2026-07-13T14:43:12.000000Z
SB 4000TL-21,14,2026-07-14T14:41:49.000000Z,2026-07-13T14:40:45.000000Z
STP 25000TL-30,29,2026-07-14T15:05:08.000000Z,2026-07-13T14:37:21.000000Z
SB3.0-1AV-40,39,2026-07-14T14:49:43.000000Z,2026-07-13T14:36:33.000000Z
STP 8.0-3AV-40,42,2026-07-14T15:08:38.000000Z,2026-07-13T14:36:16.000000Z
STP 5.0-3AV-40,50,2026-07-14T15:07:36.000000Z,2026-07-13T14:35:37.000000Z
SB 3000TL-21,29,2026-07-14T15:09:59.000000Z,2026-07-13T14:34:19.000000Z
STP 6.0-3SE-40,7,2026-07-14T14:33:39.000000Z,2026-07-13T14:32:22.000000Z
SB 3.0-1AV-41,38,2026-07-14T14:41:35.000000Z,2026-07-13T14:32:18.000000Z
STP 6000TL-20,35,2026-07-14T14:53:04.000000Z,2026-07-13T14:27:53.000000Z
SB 4.0-1AV-41,23,2026-07-14T14:27:12.000000Z,2026-07-13T14:26:20.000000Z
SB 3.6-1AV-41,42,2026-07-14T14:53:09.000000Z,2026-07-13T14:24:04.000000Z
SI 6.0H-11,4,2026-07-14T09:40:29.000000Z,2026-07-12T07:01:08.000000Z
STP 20000TL-30,13,2026-07-14T13:26:02.000000Z,2026-07-12T06:40:53.000000Z
SB3.6-1AV-40,25,2026-07-14T15:05:36.000000Z,2026-07-12T05:12:26.000000Z
SB 2.5-1VL-40,66,2026-07-14T15:05:35.000000Z,2026-07-10T17:00:34.000000Z
STP 5000TL-20,19,2026-07-14T13:32:29.000000Z,2026-07-09T20:52:49.000000Z
SB 5000TL-21,55,2026-07-14T14:46:47.000000Z,2026-07-09T19:23:45.000000Z
STP 8000TL-20,30,2026-07-14T13:34:42.000000Z,2026-07-09T18:06:53.000000Z
